,X,National.Reference,LIMS.number,CB.18,CB.28,CB.31,CB.44,CB.47,CB.49,CB.52,CB.66,CB.101,CB.105,CB.110,CB.118,CB.128,CB.138,CB.141,CB.149,CB.151,CB.153,CB.156,CB.158,CB.170,CB.180,CB.183,CB.187,CB.194,LIPID,HCB,AHCH,BHCH,GHCH,DIELDRIN,PPDDE,PPTDE,PPDDT,BDE.17,BDE.28,BDE.47,BDE.66,BDE.85,BDE.99,BDE.100,BDE.138,BDE.153,BDE.154,BDE.183,A.HBCD,B.HBCD,G.HBCD,Tissue,source,Class,Event,Species..scientific.,Species..common.,Species.Uncertain,Date.Found,Date.Certainty,Year,Location,Local.Authority,Region,Country,Grid.Ref,Easting,Northing,Latitude,Longitude,Sex,Length,Length.Uncertain,Euthanased,Stranding.Type,Condition.Found...Stranding.Outcome,Stranding.data.Stage,Sent.for.PM,Project,PM.Number,Histology.Number,Age.Group,PM.Date,Condition.at.PM,Frozen,Pathologist,Cause.of.Death,Cause.of.Death.Category,Cause.of.Death.Class,Live.Stranding..diagnosed.,PM.Summary,Age..yr.,Body.Weight..kg.,Length..PM...cm.,Girth..cm.,Dorsal.Blubber..mm.,Lateral.Blubber..mm.,Ventral.Blubber..mm.,Heart.Weight..g.,L.Testis..g.,R.Testis..g.,NMS.No,M.Ref,na_count,Lateral.Blubber..mm..1,Total_DDT,TotalCBs,TotalPBDEs,Speciescode,Date.found3,NOD,Rel.body.wt,resm4,Areaau,AreaAU2
11,259,SW2003/220,2004/02654,0.076434619,0.019990593,0.002351834,0.038805268,0.069379116,0.078786453,0.293979304,0.305738476,0.388052681,0.04233302,0.041157103,0.352775165,0.16462841,1.081843838,0.027046096,0.611476952,0.199905927,1.175917215,0.019990593,0.048212606,0.103480715,0.211665099,0.079962371,0.364534337,0.015286924,85.04,0.32925682,0.023518344,0.007055503,0.024694262,0.16462841,1.79915334,0.529162747,0.411571025,0.001175917,0.025870179,1.070084666,0.015286924,0.001175917,0.211665099,0.235183443,0.001175917,0.028222013,0.051740357,0.001175917,9.101599247,0.002939793,0.002939793,Blubber,porp_mast,Cetacean,Single,Phocoena phocoena,Harbour porpoise,FALSE,27/04/2003,exact,2003,"Hessle foreshore, Hessle",East Riding of Yorkshire,East coast,England,TA030254,503000,425400,53.71461298,-0.439116257,M,116,FALSE,FALSE,dead stranded,moderate decomposition (code 3),verified,TRUE,EW,XT452/03,452/03,juvenile,01/05/2003,slight decomposition (code 2b),FALSE,Rob Deaville,generalised bacterial infection (pending histology),Generalised Bacterial Infection,Infectious Disease,FALSE,,NA,19,116,61,9,9,8,NA,9,9,NA,,1,NA,2.739887112,5.813734713,1.64275635,HP,27/04/2003,4864,-0.251231226,-0.737989241,Greater North Sea,Southern North Sea
12,261,SW2003/236,2004/02655,0.096415328,0.016872682,0,0.045797281,0.094004944,0.087978986,0.421817058,0.44592089,0.554388134,0.03012979,0.054233622,0.494128554,0.241038319,1.687268232,0.039771323,0.903893696,0.313349815,1.928306551,0.018077874,0.071106304,0.156674907,0.325401731,0.120519159,0.554388134,0.025309023,82.97435897,0.457972806,0.025309023,0.012051916,0.028924598,0.228986403,2.555006181,0.590543881,0.614647713,0.001205192,0.018077874,1.132880099,0.014462299,0.001205192,0.361557478,0.265142151,0.001205192,0.037360939,0.056644005,0.001205192,9.894622992,0.002410383,0.015667491,Blubber,porp_mast,Cetacean,Single,Phocoena phocoena,Harbour porpoise,FALSE,12/05/2003,exact,2003,Gibraltar Point Nature Reserve,Lincolnshire,East coast,England,TF562574,556200,357400,53.09062513,0.332799683,M,110,FALSE,FALSE,dead stranded,freshly dead (code 2a),verified,TRUE,EW,XT515/03,515/03,juvenile,15/05/2003,freshly dead (code 2a),FALSE,Rob Deaville,starvation/pulmonary masses (pending histology),Starvation,Others,FALSE,,NA,17,110,59,5,5,5,NA,7,7,NA,,1,NA,3.760197775,8.726792337,1.890945612,HP,12/05/2003,4879,-0.229711825,-0.420711174,Greater North Sea,Southern North Sea
13,262,SW2003/257C,2004/02646,0.074577026,0.00779163,0,0.024487979,0.050089047,0.052315227,0.222617988,0.244879786,0.278272484,0.010017809,0.031166518,0.244879786,0.144701692,1.113089938,0.027827248,0.623330365,0.189225289,1.447016919,0.015583259,0.057880677,0.166963491,0.422974176,0.133570793,0.489759573,0.044523598,89.84,0.189225289,0.016696349,0.001001781,0.015583259,0.089047195,1.447016919,0.823686554,0.500890472,0.00111309,0.00111309,0.845948353,0.00111309,0.00111309,0.322796082,0.256010686,0.00111309,0.093499555,0.166963491,0.00111309,21.3713268,0.002782725,0.00890472,Blubber,porp_mast,Cetacean,Single,Phocoena phocoena,Harbour porpoise,FALSE,08/06/2003,exact,2003,off Bridlington,East Riding of Yorkshire,East coast,England,TA266662,526600,466200,54.07596034,-0.064811078,M,110,FALSE,FALSE,entangled,freshly dead (code 2a),verified,TRUE,EW,XT661/03,661/03,juvenile,12/06/2003,freshly dead (code 2a),FALSE,Rob Deaville,"physical trauma, by-catch (known)",Bycatch (known),Trauma,FALSE,,NA,26,110,77,23,21,23,NA,24,24,NA,,1,NA,2.771593945,6.117542297,1.691896705,HP,08/06/2003,4906,0.195171369,-0.141732762,Greater North Sea,Southern North Sea
14,264,SW2003/260,2004/02647,0.147727273,0.017045455,0.005681818,0.046590909,0.147727273,0.170454545,0.5,0.488636364,0.738636364,0.086363636,0.05,0.738636364,0.352272727,2.727272727,0.045454545,1.25,0.431818182,3.863636364,0.027272727,0.1,0.295454545,0.590909091,0.170454545,0.818181818,0.05,88,0.272727273,0.021590909,0.002272727,0.018181818,0.079545455,1.704545455,0.386363636,0.375,0.001136364,0.001136364,0.477272727,0.001136364,0.001136364,0.071590909,0.068181818,0.001136364,0.001136364,0.019318182,0.001136364,18.06818182,0.022727273,0.020454545,Blubber,porp_mast,Cetacean,Single,Phocoena phocoena,Harbour porpoise,FALSE,11/06/2003,exact,2003,off Bridlington,East Riding of Yorkshire,East coast,England,TA266662,526600,466200,54.07596034,-0.064811078,M,116,FALSE,FALSE,entangled,freshly dead (code 2a),verified,TRUE,EW,XT663/03,663/03,juvenile,13/06/2003,freshly dead (code 2a),FALSE,Rob Deaville,"physical trauma, by-catch (known)",Bycatch (known),Trauma,FALSE,,NA,27,116,74,19,20,21,NA,17,17,NA,,1,NA,2.465909091,13.86022727,0.644318182,HP,11/06/2003,4909,0.100166661,0.569331203,Greater North Sea,Southern North Sea
15,276,SW2003/353,2004/02659,0.037671233,0.005707763,0.007990868,0.015981735,0.050228311,0.043378995,0.125570776,0.02739726,0.228310502,0.046803653,0.012557078,0.399543379,0.251141553,1.598173516,0.025114155,0.433789954,0.136986301,2.054794521,0.026255708,0.086757991,0.331050228,0.764840183,0.205479452,0.525114155,0.114155251,87.6,0.136986301,0.017123288,0.001141553,0.017123288,0.046803653,0.707762557,0.205479452,0.216894977,0.001141553,0.001141553,0.273972603,0.001141553,0.001141553,0.03196347,0.087899543,0.001141553,0.012557078,0.030821918,0.001141553,10.46803653,0.01826484,0.002853881,Blubber,porp_mast,Cetacean,Single,Phocoena phocoena,Harbour porpoise,FALSE,26/09/2003,exact,2003,Morfa Dyffryn,Gwynedd,West coast,Wales,SH558242,255800,324200,52.79573322,-4.138958643,F,111,FALSE,FALSE,dead stranded,slight decomposition (code 2b),verified,TRUE,EW,XT1575/03,1575/03,juvenile,09/10/2003,slight decomposition (code 2b),FALSE,Paul Jepson,"physical trauma, bottlenose dolphin attack","Physical Trauma, Bottlenose Dolphin Attack",Trauma,FALSE,,NA,20,111,69,13,12,14,NA,NA,NA,NA,,1,NA,1.130136986,7.554794521,0.444063927,HP,26/09/2003,5016,-0.089812453,-0.453151641,Irish Sea,Irish and Celtic
16,285,SW2004/80,2005/05631,0,0.016666667,0,0.012222222,0.037777778,0.022222222,0.133333333,0.144444444,0.144444444,0,0.026666667,0.255555556,0.155555556,1.222222222,0.03,0.488888889,0.144444444,1.666666667,0,0.073333333,0.288888889,0.655555556,0.177777778,0.577777778,0.111111111,90,0.107777778,0.014444444,0.001,0.003333333,0.026666667,0.533333333,0.477777778,0.095555556,0.001111111,0.002111111,0.166666667,0.002888889,0.001111111,0.045555556,0.061111111,0.001111111,0.018888889,0.035555556,0.011,0.666666667,0.005555556,0.002777778,Blubber,porp_mast,Cetacean,Single,Phocoena phocoena,Harbour porpoise,FALSE,10/02/2004,exact,2004,"Porth Tyn Tywyn, Rhosneigr",Anglesey,West coast,Wales,SH327716,232700,371600,53.21479823,-4.505826728,M,133,FALSE,FALSE,dead stranded,freshly dead (code 2a),verified,TRUE,EW,S2095,,juvenile,12/02/2004,freshly dead (code 2a),FALSE,John Baker,"physical trauma, bottlenose dolphin attack","Physical Trauma, Bottlenose Dolphin Attack",Trauma,FALSE,,1,33,133,83,25,25,25,181,13,13,NA,,1,NA,1.106666667,6.385555556,0.347111111,HP,10/02/2004,5153,-0.040983955,-0.372972131,Irish Sea,Irish and Celtic
17,286,SW2004/87,2005/05632,0,0.012087912,0,0.007692308,0.050549451,0.030769231,0.21978022,0,0.230769231,0,0,0.252747253,0.164835165,1.208791209,0.027472527,0.505494505,0.175824176,1.538461538,0.065934066,0.064835165,0.164835165,0.351648352,0.120879121,0.406593407,0.057142857,91,0.175824176,0.015384615,0.000989011,0.004395604,0.108791209,2.087912088,0.538461538,0.406593407,0.002307692,0.012087912,1.208791209,0.00989011,0.001098901,0.164835165,0.296703297,0.001098901,0.052747253,0.142857143,0.005714286,0.681318681,0.005494505,0.002747253,Blubber,porp_mast,Cetacean,Single,Phocoena phocoena,Harbour porpoise,FALSE,18/02/2004,exact,2004,Scarborough,North Yorkshire,East coast,England,TA036904,503600,490400,54.29853714,-0.407885467,M,109,FALSE,FALSE,dead stranded,freshly dead (code 2a),verified,TRUE,EW,XT211/04,211/04,juvenile,26/02/2004,slight decomposition (code 2b),TRUE,Rob Deaville,"parasitism (multiple sites, heavy)","Pneumonia, Parasitic",Infectious Disease,TRUE,,NA,22,109,68,13,15,15,NA,11,11,NA,,1,NA,3.032967033,5.657142857,1.898131868,HP,18/02/2004,5161,0.050943416,-0.339955411,Greater North Sea,Northern North Sea
18,291,SW2004/100,2005/05636,0,0.021052632,0,0.023157895,0.029473684,0.042105263,0.136842105,0,0.252631579,0,0.049473684,0.242105263,0.115789474,0.8,0.038947368,0.389473684,0.147368421,0.957894737,0,0.051578947,0.105263158,0.221052632,0.071578947,0.294736842,0.038947368,95,0.101052632,0.015789474,0.000947368,0,0.045263158,1.368421053,0.305263158,0.212631579,0.002210526,0.013684211,0.905263158,0.016842105,0.001052632,0.081052632,0.189473684,0.001052632,0.023157895,0.068421053,0.001052632,0.126315789,0.005263158,0.002631579,Blubber,porp_mast,Cetacean,Single,Phocoena phocoena,Harbour porpoise,FALSE,15/03/2004,exact,2004,Eastbourne (near the pier),East Sussex,Channel,England,TV617988,561700,98800,50.76565639,0.293227722,F,107,FALSE,FALSE,dead stranded,unknown,verified,TRUE,EW,XT271/04,271/04,juvenile,17/03/2004,slight decomposition (code 2b),FALSE,Rob Deaville,otitis media,Others,Infectious Disease,TRUE,,NA,22,107,70,20,22,23,NA,NA,NA,NA,,1,NA,1.886315789,4.029473684,1.303263158,HP,15/03/2004,5187,0.09723074,-1.290781473,Greater North Sea,Channel
19,292,SW2004/108,2005/05637,0,0.018181818,0,0.031818182,0.075,0.059090909,0.227272727,0.284090909,0.306818182,0,0,0.715909091,0.272727273,2.272727273,0.048863636,1.363636364,0.375,3.409090909,0,0.1,0.454545455,1.068181818,0.261363636,1.136363636,0.125,88,0.147727273,0.017045455,0.001022727,0.004545455,0.045454545,1,0.511363636,0.170454545,0.001136364,0.00375,0.261363636,0.002386364,0.001136364,0.025,0.075,0.001136364,0.007613636,0.027272727,0.001136364,0.318181818,0.005681818,0.002840909,Blubber,porp_mast,Cetacean,Single,Phocoena phocoena,Harbour porpoise,FALSE,17/03/2004,exact,2004,"Talacre beach (nr Prestatyn), Point of Ayr",Flintshire,West coast,Wales,SJ123852,312300,385200,53.35613104,-3.317830728,F,133,FALSE,FALSE,dead stranded,freshly dead (code 2a),verified,TRUE,EW,S2096,,juvenile,19/03/2004,freshly dead (code 2a),FALSE,John Baker,"physical trauma, by-catch",Bycatch,Trauma,FALSE,,1,31,133,77,13,14,16,215,NA,NA,NA,,1,NA,1.681818182,12.60568182,0.406931818,HP,17/03/2004,5189,-0.103504311,0.10443887,Irish Sea,Irish and Celtic
20,293,SW2004/120,2005/05638,0,0.014736842,0,0.007368421,0.034736842,0.014736842,0.136842105,0,0.147368421,0,0.022105263,0.242105263,0.147368421,1.052631579,0.028421053,0.442105263,0.136842105,1.368421053,0,0.069473684,0.221052632,0.526315789,0.136842105,0.463157895,0.087368421,95,0.115789474,0.013684211,0.000947368,0.003157895,0.031578947,0.530526316,0.568421053,0.126315789,0.001052632,0.002421053,0.157894737,0.001052632,0.001052632,0.048421053,0.065263158,0.001052632,0.016842105,0.030526316,0.001052632,0.968421053,0.005789474,0.003157895,Blubber,porp_mast,Cetacean,Single,Phocoena phocoena,Harbour porpoise,FALSE,23/03/2004,exact,2004,Poppit Sands,Pembrokeshire,West coast,Wales,SN136495,213600,249500,52.11194644,-4.722508406,F,131,FALSE,FALSE,dead stranded,freshly dead (code 2a),verified,TRUE,EW,XT375/04,375/04,juvenile,07/04/2004,slight decomposition (code 2b),FALSE,Paul Jepson,"physical trauma, bottlenose dolphin attack","Physical Trauma, Bottlenose Dolphin Attack",Trauma,FALSE,,NA,33,131,85,18,20,20,NA,NA,NA,NA,,1,NA,1.225263158,5.3,0.326631579,HP,23/03/2004,5195,-0.003112866,-0.7958176,Irish Sea,Irish and Celtic
